3
CAT,DOG|Pets
SHY,SAD|Emotions
CUP,BOX,BIN,BAG|Containers

4
BUS,VAN,BOAT|Vehicles
LIME,PEAR,KIWI|Fruits
RAIN,SNOW,HAIL|Weather
NAIL,BOLT,SAW|Tools
BALL,KITE,DOLL|Toys
ROSE,LILY,FERN|In the garden...
CYAN,BLUE,RED|Colors
IRON,GOLD,LEAD|Metals
BALL,FOUL,GOAL,POST|At a football match
MILK,BEER,WINE|For drinking...
JAZZ,ROCK,FUNK|Music genres

5
SAW,AXE,LASER,KNIFE,RAZOR|Things that cut
GUN,TEN,SPIN,NOTCH|Top ...
TWO,SEVEN,NINE,FOUR,SIX,EIGHT|Numbers
EAST,WEST,SOUTH,NORTH|Directions
OASIS,SAND,CAMEL,DUNES|On a desert...
RICE,RYE,OAT,WHEAT,MAIZE|Cereal grain
COAT,SKIRT,JEANS,SHIRT|Clothing
OVEN,KNIFE,PAN,BREAD|In the kitchen...
CHAIR,SOFA,BED,TABLE|Furniture
MADE,BRAKE,OVER,RAIL,SHAKE,BAG,HELD,GUN,CUFFS|Hand ...
HONEY,BEACH,HAIR|... comb
HALF,OVER,FACE,FULL,DOWN,FREE|... time
ZERO,BLANK,NULL,EMPTY,ZILCH|Nothing
OBOE,CELLO,FLUTE,HARP,DRUM,PIANO|Musical instruments
SNOW,FOOT,EYE,DISCO|... ball
CANOE,YACHT,BOAT,KAYAK|Watercrafts
HEART,BRAIN,LIVER,LUNGS|In our body...
PHONE,WATER,LAMP,BOOK|Next to the bed
SEA,PLAIN,RIVER,LAKE,OCEAN|Geographical features
SCENT,AROMA,ODOR,MUSK|What's that smell?
PEN,LOCK,MOUSE|Click!
GOAL,SHOP,GATE,TIME,HOUSE|... keeper
BAG,PARTY,POT,SPOON,CUP,LEAF|Tea ...
TOAD,TUNA,TIGER,TROUT|T... (animals)
TOY,WALK,BONE,BALL,TREAT|Dogs like them
RED,LEFT,OPEN,TWO,RIGHT|... handed
JUMP,HOP,FROG,YEAR|LEAP
ROAD,WALK,BOW,BREED|Cross ...
BIG,SMALL,LONG,LARGE,SHORT,GIANT|Size
CALM,PEACE,HUSH,QUIET,EVENT|A moment of silence
SIGN,CAR,METER,LINE|Parking lot
BOSS,BARK,BODY,PLOY,BED,BRACE|Em...
BOOK,DESK,EXAM,BELL,PUPIL|School
DRONE,JET,PLANE,JUMBO,BLIMP|Aircraft
JUNE,MAY,MARCH,JULY,APRIL|Months
KNOT,HAND,AIR,BUM,TEA,SLING|... bag
SOUR,YUMMY,TANG,SWEET,SPICY,HOT|Taste
BUS,BALL,TRAIN,PLANE|Run to catch it!
SWEET,WEAK,HOT,SOFT,BLIND,SORE|... spot
GOAL,SIGN,BLOG,LAMP,FENCE|... post
WIND,COAL,GAS,SOLAR|Energy
SOAP,BEER,OCEAN,SODA|It has foam
GUN,CORN,STAR,QUIZ,MUSIC|Pop ...
EMAIL,LINK,WIFI,MODEM,LOGIN,BLOG|Internet
EYE,PAN,JAR,BOX,RUMOR|Put a lid on it!
CLUB,BELT,FARE,BOY|Fan...
SLAP,JOY,CHOP,LIP,POGO,DRUM|... stick
FIRE,AIR,EARTH,WATER|Four elements
BOW,COAT,CLOUD,DROPS|Rain ...
STAR,SMART,NEON,LED,LAMP,FLASH,BULB|Bright
HOUSE,LIE,PAGES,BOARD|White ...
TEST,DIET,QUIZ,GAME,TAXES|Don't cheat
KISS,PARIS,MOVIE,CREPE|French
WAY,PAST,DOZEN,PRICE,BAKED|Half ...
BAR,MILK,CAKE,COCOA|Chocolate
WILL,LOCK,BLACK,WORD|... Smith
COLD,FISH,TRAIN,WAVE|Things you can catch
LEAK,ROAD,FATE,LIPS|Sealed
BIT,SLICE,PIECE,SHARD|Part of it
WALK,BATH,BREAK,PHOTO|Take a ...
SOCK,TOY,PEN,CAT,COIN|Under the sofa
TIME,HAND,STYLE,AGENT|Free ...
JET,PLANE,WINGS,FLAPS|Jumbo
HILUX,YARIS,CAMRY,PRIUS|Toyota
SENT,DOMEN,STAIN,ALONE|Ab...

6
STAGE,SHOWER,WINDOW|Has a window
STAIR,SUB,RAIL,MILKY,ONE,DOOR,HIGH,PATH,WRONG|... way
BARN,FENCE,HAY,HEN,CATTLE,BARLEY,PLOUGH|Around the farmyard
MOUTH,DOOR,EYES,BOOK,MIND,WINDOW|Can be open
COMET,STAR,METEOR,GALAXY,PLANET,MOON|Celestial things
RED,INDIGO,VIOLET,GREEN,ORANGE,BLUE,YELLOW|Colors of rainbow
LIQUID,GAS,PLASMA,SOLID|States of matter
LAND,CUBE,BERG,PICK,HOCKEY,AGE,BUCKET,CREAM|Ice ...
DUST,DRILL,CHISEL,HAMMER,RULER,WOOD,CLAMP|A carpenters workshop
RUDDER,DECK,RADAR,MAST,ANCHOR,ENGINE|Parts of a ship
PIANO,SLAM,FATHER,CANYON,MOTHER|Grand ...
PILLOW,SHEET,SLEEP,SNOOZE,DREAM,NAP|Time for bed
LION,PUMA,TIGER,COUGAR,JAGUAR|Big cats
JACKAL,FOX,WOLF,DINGO,COYOTE|Wild dogs
PICK,PASTE,FAIRY,ACHE,BRUSH|Tooth ...
FABRIC,THREAD,NEEDLE,PIN,STITCH,KNIT|Sewing
SHIRT,REMOTE,BELLY,MOUSE|Things with button
GREEN,RED,ROAD,STOP,SIGNAL|Traffic lights
IVORY,BONE,CREAM,CLOUD,SNOW,LINEN|White
JUDGE,JURY,COURT,JAIL,PRISON,BAIL,PAROLE,PLEA|Justice
MOON,COMB,BEAR,BEE,SUCKLE|Honey ...
TOAD,CROAK,PRINCE,POND,KERMIT|Frog
BLOCK,NET,SERVE,SCORE,PASS,SPIKE|Volleyball
ARGON,BORON,RADON,XENON|5-letter elements
BIRD,SONG,SICK,BITE,LETTER|Love ...
MUPPET,HAND,STRING,ROD,SHADOW|Puppet
RAP,SPREAD,MUSIC,METAL|Sheet
WATER,SINK,SPONGE,STACK,FAUCET|Wash the dishes
SQUAWK,WOOF,MOO,TWEET,QUACK,MEOW|Talk like an animal
NOSE,FUSE,SMOKE,MIND,FLUTE,KISS|You blow it
NAME,AGES,EAST,SEAT,CLASS,CHILD,FINGER|Middle ...
SERVE,COURT,RACKET,BALL,PLAYER|At a tennis match
MOON,SKY,NAVY,JEANS,BERRY,TOOTH|Blue
PLACE,MARK,DAY,RIGHT,RATE,STONE|Birth ...
ANGLE,WING,ANSWER,HUMAN,HANDED|Right
TEA,FLOWER,JACK,CRACK,NETI|... pot
HOLD,WILL,ARM,DRINK,MAN,MINDED|Strong ...
GRASS,HAIR,BEARD,NAIL,HEDGE|Can be trimmed
TUNA,BEER,BEANS,CORN,PAINT|Canned
