3
BİR,İKİ,BEŞ|Sayılar
KAR,SÜT,DİŞ|Beyaz renkli
KAŞ,GÖZ|Yüzümüzde bulunur
YAZ,GÜZ|Mevsimler

4
ELMA,KİVİ,AYVA,ÜZÜM|Meyve
EKİM,MART,OCAK|Ay
KOLA,SODA,BOZA,BİRA|İçecek
TREN,BALE,UÇAK|Bir bilet lütfen...
MAYO,MONT,ŞORT,ETEK,BERE|Bir giyim mağazasında...
SARI,MAVİ,HAKİ,MOR,GRİ,BEJ|Ne renk istersiniz?
DEDE,DAYI,HALA,AMCA,ABLA|Akrabalarımız
BOYA,VİDA,ÇİVİ,MALA,CİLA|Nalbur dükkanında...
AYAZ,AYVA,SOBA,ATKI,KAR|Kış gelince...
VAZO,KALP,CAM,ÇITA|Kolay kırılır
ÜVEY,İKİZ,ABLA,KAN|Kardeş
TAM,YARI,DÖRT|... zamanlı

5
CİĞER,YUMAK,OYUN,SEVME,UYKU,FARE|Kediler bayılır
ACI,TATLI,TUZLU,EKŞİ|Ağzının tadını biliyorsun...
BIÇAK,ÇAKI,KILIÇ,JİLET|Kesici aletler
KUZEY,GÜNEY,DOĞU,BATI|Pusulada olur
KİTAP,İRAN,SAAT,IRAK,AKNE|Yanı başımızda...
BİBER,SOĞAN,HAVUÇ,TURP,LİMON,MARUL|Sebzeler
SİYAH,YEŞİL,KAÇAK,BUZLU,POŞET|... çay
KÜÇÜK,BÜYÜK,İRİ,UFAK,MİNİ,DEV|Boyut
KANO,GEMİ,KAYIK,SAL,YAT,TEKNE|Deniz taşıtları
ALTIN,DEMİR,ÇİNKO,BAKIR,GÜMÜŞ|Metaller
KARGA,KEDİ,KÖPEK,KİRPİ,KEÇİ|K... (hayvan)
GÖL,NEHİR,VADİ,DENİZ,PLATO,ADA|Coğrafi şekiller
ZAMAN,LAF,DEPO,VER,DERS|Boş ...
DENİZ,SABUN,BİRA,KAHVE|Köpüklü olur
OKUL,OMUZ,BEL,SIRT,EVRAK,SPOR|... çantası
ÇAPA,DÜMEN,RADAR,DİREK,MOTOR|Gemide bulunur
TAVUK,HOROZ,HİNDİ,SÜLÜN,ÖRDEK,KAZ|Kümes hayvanları
KUMAŞ,İPLİK,İĞNE,MAKAS|Pantolon sökülmüş
CAN,MEYVE,TURŞU,İÇME,DENİZ|... suyu
ARGON,BORON,RADON,ZENON|5 harfli elementler
MUM,SABUN,SİLGİ,İNSAN,KALEM|Zamanla küçülür
YARA,PAZU,KOŞU,KOLİ,PARA|... bandı
SIRA,TAHTA,DERS,SINAV,ZİL|Okulda bulunur
DEKAR,DÖNÜM,LİTRE,ARŞIN,METRE|Ölçü birimi
TEPSİ,KOL,TALAŞ,MUSKA,ÇİN|Börek
PİST,UÇAK,PİLOT,ANONS,KAPI,BAVUL,YOLCU|Havaalanındayız
FİLE,SMAÇ,PASÖR,SET,BLOK,MOLA|Voleybol terimleri
KAYIT,SIRA,YURT,KADRO,DEVRE|... dışı
EKMEK,PASTA,SALAM,PİZZA,ELMA|Bir dilim ...
SELE,PEDAL,VİTES,FREN,KASK|Motosiklet parçaları
HAVLU,KALE,DALGA,KUM,KOVA|Plajda olur
DOLGU,KORKU,ÇÜRÜK,AĞRI,ABSE|Diş hekimi
ÜVEY,BÜYÜK,NOEL,ŞİRİN,ALİ|... baba
DALAK,KALP,BEYİN,DAMAR,MİDE|İç organ
BOKS,TENİS,GÜREŞ,KAYAK,JUDO,GOLF,KANO|Spor dalları
FLÜT,GİTAR,KEMAN,ORG,KANUN,DAVUL|Müzik entrumanları
AŞÇI,AKTÖR,ATLET,AKTAR,ASKER|A... (meslekler)
KÖPEK,EŞEK,DEVE,ÖKÜZ,KATIR|Çalışan hayvanlar
RENK,DENİZ,KAPI,HAVA,GÖRÜŞ,LİSE|Açık ...
VOTKA,CİN,RAKI,BİRA,VİSKİ,LİKÖR|Alkollü içecekler
FIRIN,OCAK,HAVAN,BIÇAK,MAŞA|Mutfak araçları
TOP,KALE,FAUL,HAKEM,VAR|Futbol maçı
SERVE,FETİ,KEN,SOL,ÇERTO,SOLOS|Kon...
GÖRÜŞ,PARTİ,KANAT,TARAF,BEK|Sol ...
MEŞE,KAYIN,KAVAK,AYI,ÇINAR,LADİN|Ormanda olur
KÖŞE,METİN,SPOR,BLOG,ROMAN|... yazarı
BEBEK,TOP,ARABA,AYI,LEGO|Oyuncak
SOĞUK,TATLI,SÜTLÜ,KÜLAH,ERİME|Dondurma
KOZMO,BANK,BLOK,ASTRO,DİP|...not
HALI,SUŞİ,DÜRÜM,FİLM,BANT|Rulo halinde gelir
HIZ,PİST,BİTİŞ,KUPA,KAZA|Araba yarışı
DEVRE,FİLM,KOLLU,SÜRE,DÖNEM,DALGA|Kısa ...
AZTEK,MAYA,ROMA,İNKA,MISIR|Eski medeniyetler
İNEK,KEÇİ,ANNE,KUTU,ŞİŞE,TOZ|Süt
ALFA,BETA,GAMMA,DELTA,OMEGA|Yunan alfabesi
ARRUF,FİYE,LAMAK,TAMAM,ARIM,AVVUR|Tas...
ŞEKER,BUZ,EKŞİ,YAZ,SARI|Limonata
ÇAKAL,TİLKİ,KURT,KÖPEK|Köpekgiller
PALET,GÖVDE,KULE,TOP|Tank
YOPAT,YAL,YETİK,YOLOG,YETE|Sos...
